mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tW_tj)(pb),QCDscaleUp(%),QCDscaleUp(%),sigmaSinglet(tW_tj)(fb),kappaSinglet,sigmaDoublet2(tW_tj)(fb),kappaDoublet2
700,7,1,432.38,27.7,-19.9,14.92809621817964,0.18602269007347919,70.14919407,0.2738864112517675
700,70,10,46.0939,28.8,-20.5,159.14107365538428,0.5882553971037894,747.8259717,0.8661048797251538
700,140,20,23.2099,29.3,-20.7,320.53251345050904,0.8319187607233497,1506.226726,1.2248572673448308
700,210,30,15.6174,29.8,-21,485.2774061936696,1.018888235610369,2280.38582,1.500137656367298
800,8,1,420.453,28.6,-20.4,8.092135899735265,0.16073765989229347,36.53465174,0.23430313113498702
800,80,10,44.1387,29.7,-20.9,84.95036516272803,0.5082971110251425,383.5368121,0.7409315572956717
800,160,20,21.8901,30.1,-21.1,168.52077550527164,0.7188406681268195,760.8433571,1.0478354571177568
800,240,30,14.5225,30.5,-21.4,251.55306120663866,0.8803964216360254,1135.720359,1.2833311021672342
900,9,1,398.638,29.4,-20.8,4.627751377793147,0.14165406576369624,20.34512736,0.20511699372746975
900,90,10,41.3257,30.5,-21.4,47.97461985893626,0.4479494876365591,210.9123139,0.6486368869852752
900,180,20,20.2458,30.8,-21.5,94.01264189016051,0.6334962406737009,413.3107024,0.9173110826300407
900,270,30,13.2572,31.2,-21.7,138.51143897247988,0.7758712718109672,608.9421485,1.1234720439218087
1000,10,1,370.892,30.3,-21.3,2.7563172077702833,0.12670730271040828,11.89408035,0.18262156651445915
1000,100,10,38.0352,31.3,-21.8,28.26620047371859,0.4006836727413165,121.9745168,0.5775001000536278
1000,200,20,18.4346,31.6,-21.9,54.79935420377051,0.5666522842122327,236.4705775,0.8167084738
1000,300,30,11.948,31.9,-22.1,79.91337154372549,0.694004479,344.8427703,1.0002595146689937
1100,11,1,339.594,31.1,-21.7,1.6926796886791693,0.11466606443435438,7.205808132,0.16470693467129546
1100,110,10,34.67,32,-22.2,17.28098988984105,0.3626059339401868,73.56589572,0.5208490599858504
1100,220,20,16.6274,32.3,-22.3,33.15118907347484,0.5128022295751747,141.1259965,0.7365918045812673
1100,330,30,10.7122,32.6,-22.4,48.054709520669064,0.6280519007103674,204.5709055,0.9021370349699827
1200,12,1,307.912,31.8,-22,1.0687709298206576,0.10474799475805908,4.503609212,0.15007720549419432
1200,120,10,31.1872,32.7,-22.5,10.825161975662796,0.33124224377084477,45.61529308,0.4745857942347898
1200,240,20,14.8925,32.9,-22.6,20.676909080976568,0.46844727357162347,87.12879029,0.6711656667164467
1200,360,30,9.52657,33.2,-22.7,29.760285306228468,0.5737283958242185,125.4045103,0.8220067081650847
1300,13,1,276.478,32.4,-22.4,0.6892880609575482,0.09643090831860213,2.881759788,0.1378892828028202
1300,130,10,27.9465,33.3,-22.8,6.967349588592991,0.30494130712566064,29.12893608,0.4360441985839982
1300,260,20,13.2814,33.5,-22.9,13.24475792330903,0.4312521322648886,55.37338153,0.6166596194315974
1300,390,30,8.44618,33.7,-23,18.95147509468595,0.5281738372681095,79.23189438,0.7552507062931381
1400,14,1,247.624,33,-22.7,0.4550827468766478,0.08935227659895761,1.890832024,0.1275693277462226
1400,140,10,24.8778,33.9,-23.1,4.572035650925545,0.2825567081740695,18.99643853,0.4034096352545779
1400,280,20,11.7779,34.1,-23.2,8.658157665554986,0.39959552883926586,35.97394517,0.5705073773690076
1400,420,30,7.45044,34.3,-23.3,12.323159429520915,0.4894025745769007,51.20173122,0.6987259845237579
1500,15,1,219.874,33.7,-23,0.3045309094,0.08325217507404413,1.259018253,0.11871230854175392
1500,150,10,22.0693,34.5,-23.4,3.056652446197519,0.26326649339707653,12.6370792,0.37540128128860434
1500,300,20,10.3947,34.7,-23.5,5.758766283024718,0.3723150454805525,23.80839396,0.5308975833305815
1500,450,30,6.55766,34.8,-23.5,8.174268659313368,0.4559909424942329,33.79477461,0.6502140924183184
1600,16,1,194.951,34.3,-23.3,0.20740717460612743,0.07793917248,0.8540097577,0.11102366371926257
1600,160,10,19.4951,35.1,-23.7,2.0740717460612728,0.24646530397694688,8.540097577,0.3510876515294707
1600,320,20,9.15678,35.1,-23.7,3.8967368585745046,0.34855457553860586,16.04501535,0.4965129183746966
1600,480,30,5.76718,35.3,-23.8,5.522100724389556,0.42689042879097966,22.73753505,0.6081016503590803
1700,17,1,171.698,34.8,-23.6,0.14266662362635893,0.07326903978953105,0.5854728563,0.10428373935477359
1700,170,10,17.1519,35.6,-23.9,1.425178896537494,0.23169704770842214,5.848624844,0.32977413928042254
1700,340,20,8.04902,35.7,-24,2.6752239557852397,0.3276691072310566,10.97853843,0.4663710602902876
1700,510,30,5.05816,35.8,-24,3.782615686063398,0.40131105859469723,15.52303373,0.5711855642559872
1800,18,1,150.955,35.4,-23.9,0.09940615221936934,0.06913097047,0.4068012573,0.09832521603843415
1800,180,10,15.0926,36.1,-24.2,0.9938705528045138,0.2186113235275369,4.067231066,0.3109316341
1800,360,20,7.06368,36.2,-24.2,1.8606160758077988,0.30916309862097524,7.614226505,0.4397237339285827
1800,540,30,4.42835,36.2,-24.2,2.6245219486772866,0.3786459194595714,10.74036973,0.5385493879581914
1900,19,1,132.543,36,-24.1,0.07007484494554803,0.06543838169593338,0.2860916728,0.09301828295785973
1900,190,10,13.2464,36.6,-24.4,0.7003307802650525,0.20693433255462157,2.859211528,0.2941496381848609
1900,380,20,6.19105,36.7,-24.5,1.3092713121028952,0.29264933961937006,5.345307866,0.41599040768816914
1900,570,30,3.88069,36.7,-24.5,1.84653188,0.3584207778149589,7.53875938,0.5094821183641814
2000,20,1,115.948,36.6,-24.4,0.04978942486136345,0.062122607351889784,0.2028645332,0.08826061094591095
2000,200,10,11.5445,37.2,-24.7,0.49573430788975226,0.19644893342029296,2.019844761,0.27910455826706687
2000,400,20,5.42296,37.1,-24.7,0.9314729342332057,0.27782074595670747,3.795240104,0.3947134516214377
2000,600,30,3.39436,37.1,-24.6,1.3118200310067947,0.34025953377666307,5.344945417,0.4834232755
