mass,mass1,sigma(Tbj)(pb)_G/MQ=1%(doublet),sigma(Tbj)(pb)_G/MQ=1%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=1%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=1%(singlet),sigma(Tbj)(pb)_G/MQ=1%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=1%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=2%(doublet),sigma(Tbj)(pb)_G/MQ=2%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=2%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=2%(singlet),sigma(Tbj)(pb)_G/MQ=2%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=2%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=3%(doublet),sigma(Tbj)(pb)_G/MQ=3%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=3%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=3%(singlet),sigma(Tbj)(pb)_G/MQ=3%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=3%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=4%(doublet),sigma(Tbj)(pb)_G/MQ=4%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=4%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=4%(singlet),sigma(Tbj)(pb)_G/MQ=4%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=4%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=5%(doublet),sigma(Tbj)(pb)_G/MQ=5%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=5%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=5%(singlet),sigma(Tbj)(pb)_G/MQ=5%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=5%(singlet)_Up
600,600,1.2642471833390139,1.0215117241379232,1.5992726869238527,0.6995864778873443,0.5652658741329742,0.8849768945274906,2.528494366678026,2.043023448275845,3.198545373847703,1.3991729557746893,1.130531748265949,1.7699537890549821,3.7927415500170403,3.064535172413769,4.797818060771556,2.098759433662034,1.6957976223989237,2.6549306835824735,15.170966200068161,12.258140689655075,19.191272243086225,2.7983459115493785,2.261063496531898,3.5399075781099643,6.321235916695067,5.107558620689614,7.996363434619261,3.4979323894367247,2.8263293706648738,4.424884472637457
700,700,0.6666074622925436,0.533285969834035,0.8525909442721633,0.3546707391490848,0.2837365913192679,0.4536238753716794,1.3332149245850873,1.06657193966807,1.7051818885443266,0.7093414782981697,0.5674731826385359,0.9072477507433591,1.9998223868776313,1.599857909502105,2.5577728328164904,1.064012217447255,0.8512097739578041,1.360871626115039,7.23745244774762,5.789961958198096,9.256701680669204,1.4186829565963397,1.1349463652770717,1.8144955014867183,3.3330373114627188,2.666429849170175,4.262954721360817,1.7733536957454248,1.41868295659634,2.2681193768583983
800,800,0.35017745944355033,0.2776907253387354,0.45207910014162345,0.18358027594029386,0.14557915882065303,0.23700213623891936,0.7003549188871007,0.5553814506774708,0.9041582002832469,0.36716055188058777,0.2911583176413061,0.4740042724778388,1.050532378330651,0.8330721760162063,1.3562373004248705,0.5507408278208817,0.43673747646195926,0.7110064087167582,3.501774594435505,2.7769072533873556,4.520791001416237,0.7343211037611754,0.5823166352826121,0.9480085449556774,1.7508872972177523,1.3884536266936776,2.260395500708118,0.9179013797014692,0.7278957941032651,1.1850106811945966
900,900,0.1940157464468276,0.15269039245365332,0.2528025176202163,0.100696148847527,0.07924786914300376,0.13120708194832767,0.3880314928936553,0.30538078490730675,0.5056050352404329,0.2013922976950541,0.15849573828600758,0.26241416389665545,0.5820472393404826,0.45807117736095987,0.7584075528606489,0.30208844654258105,0.2377436074290113,0.3936212458449831,0.6036045445012415,0.47503677652247706,0.7864967214851176,0.40278459539010836,0.3169914765720153,0.5248283277933111,0.9700787322341379,0.7634519622682665,1.2640125881010815,0.5034807442376352,0.39623934571501895,0.6560354097416387
1000,1000,0.11258313193215405,0.08804000917094447,0.14782165222691826,0.05801572946058302,0.04536830043817592,0.0761746527817455,0.22516626386430802,0.17608001834188888,0.2956433044538364,0.1160314589211659,0.09073660087635174,0.15234930556349083,0.3377493957964622,0.2641200275128334,0.4434649566807548,0.1740471883817489,0.13610490131452765,0.2285239583452363,0.5854322860472012,0.45780804768891137,0.7686725915799751,0.23206291784233207,0.18147320175270368,0.304698611126982,0.5629156596607703,0.4402000458547224,0.7391082611345914,0.29007864730291494,0.22684150219087948,0.3808732639087273
1100,1100,0.06775050478164042,0.05264214221533461,0.08963391782611027,0.034729370209300274,0.026984720652626314,0.04594695678690426,0.13550100956328084,0.10528428443066921,0.17926783565222054,0.06945874041860048,0.05396944130525257,0.09189391357380843,0.20325151434492125,0.15792642664600381,0.2689017534783308,0.10418811062790079,0.08095416195787891,0.13784087036071274,0.24636547193323788,0.19142597169212583,0.3259415193676737,0.1389174808372011,0.10793888261050526,0.18378782714761704,0.33875252390820215,0.2632107110766731,0.44816958913055144,0.17364685104650124,0.13492360326313146,0.22973478393452113
1200,1200,0.04200665082566182,0.032471141088236594,0.05595285889978155,0.021446997526736816,0.016578529088167558,0.028567400705613442,0.0840133016513237,0.06494228217647323,0.11190571779956318,0.0428939950534736,0.03315705817633509,0.057134801411226836,0.12601995247698555,0.09741342326470984,0.16785857669934476,0.06434099258021045,0.04973558726450268,0.08570220211684032,0.11201773553509826,0.08658970956863096,0.1492076237327509,0.08578799010694727,0.06631411635267023,0.11426960282245377,0.21003325412830928,0.16235570544118308,0.279764294498908,0.1072349876336841,0.08289264544083781,0.14283700352806722
1300,1300,0.02664369645000647,0.020489002570054978,0.035702553243008674,0.013561084310389151,0.010428473834689258,0.018171852975921464,0.053287392900012984,0.040978005140109984,0.0714051064860174,0.02712216862077831,0.02085694766937852,0.036343705951842935,0.07993108935001941,0.06146700771016493,0.10710765972902601,0.040683252931167486,0.031285421504067795,0.05451555892776443,0.09017866490771424,0.06934739331403225,0.12083941097633709,0.054244337241556605,0.04171389533875703,0.07268741190368586,0.13321848225003238,0.10244501285027491,0.17851276621504342,0.06780542155194576,0.052142369173446286,0.09085926487960733
1400,1400,0.017302469428623613,0.013236389112897064,0.02332372878978463,0.008784954098858643,0.006720489885626862,0.01184211812526145,0.03460493885724723,0.026472778225794132,0.046647457579569264,0.017569908197717272,0.013440979771253712,0.02368423625052288,0.05190740828587087,0.03970916733869122,0.06997118636935393,0.026354862296575916,0.020161469656880576,0.03552635437578433,0.0593227523267096,0.04538190552993285,0.07996707013640454,0.03513981639543457,0.02688195954250745,0.0473684725010458,0.08651234714311815,0.06618194556448538,0.11661864394892325,0.0439247704942932,0.0336024494281343,0.05921059062630723
1500,1500,0.011439989545303326,0.008705832043975832,0.015512625823431311,0.005796901349175871,0.004411441926722838,0.007860598229482482,0.02287997909060666,0.017411664087951667,0.031025251646862633,0.011593802698351745,0.008822883853445677,0.015721196458964967,0.03431996863590999,0.026117496131927504,0.04653787747029395,0.017390704047527652,0.013234325780168543,0.023581794688447497,0.02745597490872797,0.020893996905541983,0.03723030197623513,0.023187605396703517,0.01764576770689138,0.031442392917929975,0.05719994772651667,0.04352916021987918,0.07756312911715661,0.028984506745879383,0.02205720963361421,0.039302991147412446
1600,1600,0.0077125776204473116,0.005846133836299062,0.010512243296669686,0.003901805835293387,0.0029575688231523872,0.005318161353504886,0.015425155240894635,0.011692267672598134,0.021024486593339387,0.007803611670586773,0.005915137646304774,0.010636322707009772,0.023137732861341975,0.017538401508897218,0.031536729890009114,0.011705417505880163,0.008872706469457163,0.015954484060514664,0.02699402167156562,0.02046146842704674,0.03679285153834394,0.015607223341173548,0.011830275292609549,0.021272645414019544,0.038562888102236625,0.02923066918149536,0.05256121648334852,0.019509029176466932,0.014787844115761934,0.026590806767524428
1700,1700,0.005253496527603805,0.003961136381813269,0.007197290242817214,0.002654185948734692,0.0020012562053459576,0.0036362347497665283,0.010506993055207617,0.007922272763626543,0.014394580485634436,0.005308371897469385,0.004002512410691917,0.007272469499533058,0.015760489582811413,0.011883409145439805,0.02159187072845164,0.007962557846204085,0.00600376861603788,0.010908704249299597,0.018541752450366378,0.013980481347576248,0.025402200857001938,0.01061674379493878,0.008005024821383839,0.014544938999066129,0.026267482638019014,0.019805681909066338,0.03598645121408605,0.013270929743673481,0.010006281026729805,0.01818117374883267
1800,1800,0.003629434104958079,0.0027257050128235176,0.0049977307625272745,0.0018316114356099207,0.0013755401881430504,0.0025221289468348607,0.007258868209916149,0.005451410025647027,0.009995461525054537,0.0036632228712198452,0.0027510803762861038,0.005044257893669727,0.010888302314874233,0.00817711503847055,0.01499319228758182,0.005494834306829766,0.004126620564429155,0.007566386840504588,0.014517736419832316,0.01090282005129407,0.019990923050109098,0.007326445742439696,0.005502160752572212,0.01008851578733946,0.01814717052479039,0.013628525064117582,0.024988653812636364,0.009158057178049607,0.0068777009407152544,0.012610644734174309
